id,email,password,usertype,verified
1,manager1@yorku.ca,man123,manager,true
2,supermanager1@yorku.ca,superman123,super_manager,true
3,faculty1@yorku.ca,facpass1,faculty,true
4,staff1@yorku.ca,staffpass1,staff,true
5,student1@my.yorku.ca,studpass1,student,true
6,visitor1@gmail.com,visitpass1,visitor,true
7,student2@my.yorku.ca,Stu123,faculty,false
8,stu1@my.yorku.ca,stu123,student,true
9,manager_auto_9@yorku.ca,y95h#8cWi1,manager,true
10,manager_auto_10@yorku.ca,E6MbhYUF5W,manager,true
11,manager_auto_11@yorku.ca,$JRauBfjsz,manager,true
12,manager_auto_12@yorku.ca,ASDH$fp$hK,manager,true
13,manager_auto_13@yorku.ca,iF70cSFKGG,manager,true
14,manager_auto_14@yorku.ca,8huSRxJmEL,manager,true
15,manager_auto_15@yorku.ca,k6nf5CzJea,manager,true
16,manager_auto_16@yorku.ca,VDZyIGxPS#,manager,true
