id,email,password,usertype,verified
1,manager1@yorku.ca,man123,manager,true
2,supermanager1@yorku.ca,superman123,super_manager,true
3,faculty1@yorku.ca,facpass1,faculty,true
4,staff1@yorku.ca,staffpass1,staff,true
5,student1@my.yorku.ca,studpass1,student,true
6,visitor1@gmail.com,visitpass1,visitor,true
7,student2@my.yorku.ca,Stu123,faculty,false
8,stu1@my.yorku.ca,stu123,student,true
9,manager_auto_9@yorku.ca,y95h#8cWi1,manager,true
10,manager_auto_10@yorku.ca,E6MbhYUF5W,manager,true
11,manager_auto_11@yorku.ca,$JRauBfjsz,manager,true
12,manager_auto_12@yorku.ca,ASDH$fp$hK,manager,true
13,manager_auto_13@yorku.ca,iF70cSFKGG,manager,true
14,manager_auto_14@yorku.ca,8huSRxJmEL,manager,true
15,manager_auto_15@yorku.ca,k6nf5CzJea,manager,true
16,manager_auto_16@yorku.ca,VDZyIGxPS#,manager,true
17,manager_auto_17@yorku.ca,DMFp7AAgkd,manager,true
18,manager_auto_18@yorku.ca,gjCkllnFUF,manager,true
19,manager_auto_19@yorku.ca,R%2vVd4$M6,manager,true
20,manager_auto_20@yorku.ca,ivSfAssCyq,manager,true
21,manager_auto_21@yorku.ca,kCUG5a$I1F,manager,true
22,manager_auto_22@yorku.ca,Vf$KlaaquK,manager,true
23,manager_auto_23@yorku.ca,#EZrjBYeUY,manager,true
24,manager_auto_24@yorku.ca,IDeH3CLdyp,manager,true
25,manager_auto_25@yorku.ca,7AtT$GDlCc,manager,true
26,manager_auto_26@yorku.ca,iYaVnYMlLe,manager,true
27,manager_auto_27@yorku.ca,bzghOPXf9c,manager,true
28,manager_auto_28@yorku.ca,l#EZH89HW4,manager,true
29,manager_auto_29@yorku.ca,BEqpUR6eF2,manager,true
30,manager_auto_30@yorku.ca,cQ4l$jafxd,manager,true
31,manager_auto_31@yorku.ca,0BwmWQ75Z0,manager,true
32,manager_auto_32@yorku.ca,IA03MqEIhs,manager,true
33,manager_auto_33@yorku.ca,VxSJgSdrfD,manager,true
34,manager_auto_34@yorku.ca,P%tToEBO8n,manager,true
35,manager_auto_35@yorku.ca,FwOqpBfJpg,manager,true
36,manager_auto_36@yorku.ca,QCKEZRhf7e,manager,true
37,manager_auto_37@yorku.ca,R6FJ1gyy8h,manager,true
38,manager_auto_38@yorku.ca,NKjMp@TOl0,manager,true
39,manager_auto_39@yorku.ca,YyG7QfZ@IL,manager,true
40,manager_auto_40@yorku.ca,h8CU0EikZu,manager,true
41,manager_auto_41@yorku.ca,ziqv2uMzjh,manager,true
42,manager_auto_42@yorku.ca,NGVs9Oqq4W,manager,true
43,manager_auto_43@yorku.ca,v8sIt9RvT0,manager,true
44,manager_auto_44@yorku.ca,yqYTRqZYnb,manager,true
45,manager_auto_45@yorku.ca,$j7ZOHgcO$,manager,true
46,manager_auto_46@yorku.ca,NEm@HE@5BI,manager,true
47,manager_auto_47@yorku.ca,%CFOs6gygT,manager,true
48,manager_auto_48@yorku.ca,rmr42a%fQ@,manager,true
49,manager_auto_49@yorku.ca,Cht3CTe933,manager,true
50,manager_auto_50@yorku.ca,MwkO#6CaMj,manager,true
51,manager_auto_51@yorku.ca,JSME2qM1ZO,manager,true
52,manager_auto_52@yorku.ca,BTuKTEbNLE,manager,true
53,manager_auto_53@yorku.ca,VYLI8p4zhA,manager,true
54,manager_auto_54@yorku.ca,mAWPqbh7w2,manager,true
55,manager_auto_55@yorku.ca,xNImXV%tGs,manager,true
56,manager_auto_56@yorku.ca,d7JOWOu6QH,manager,true
57,manager_auto_57@yorku.ca,vDpY49yGjF,manager,true
58,manager_auto_58@yorku.ca,7rYy0zgUL4,manager,true
59,manager_auto_59@yorku.ca,yvIKx5@Y5G,manager,true
60,manager_auto_60@yorku.ca,T#gIK@wDxO,manager,true
61,manager_auto_61@yorku.ca,EHYpKKlMsX,manager,true
62,manager_auto_62@yorku.ca,1JKynwSVdy,manager,true
63,manager_auto_63@yorku.ca,EAP$G9tnMs,manager,true
64,manager_auto_64@yorku.ca,NjxTu0vIIi,manager,true
65,manager_auto_65@yorku.ca,9pC@O983kj,manager,true
66,manager_auto_66@yorku.ca,xCaz9ifMEq,manager,true
67,manager_auto_67@yorku.ca,QLD77rdyTm,manager,true
68,manager_auto_68@yorku.ca,Vv8EKA5awn,manager,true
69,manager_auto_69@yorku.ca,jmPt033CIn,manager,true
70,manager_auto_70@yorku.ca,27mXQfwoEj,manager,true
71,manager_auto_71@yorku.ca,AQ$9C76$vN,manager,true
72,manager_auto_72@yorku.ca,rLG2pj3boR,manager,true
73,manager_auto_73@yorku.ca,MxAFcA@SSu,manager,true
74,manager_auto_74@yorku.ca,3LCoV%OX9x,manager,true
75,manager_auto_75@yorku.ca,v9DSB19qrq,manager,true
76,manager_auto_76@yorku.ca,DRluBApDEs,manager,true
77,manager_auto_77@yorku.ca,TtSvMPN6xF,manager,true
78,manager_auto_78@yorku.ca,qAcjX9GhdJ,manager,true
79,manager_auto_79@yorku.ca,qHwAMuoOXT,manager,true
80,manager_auto_80@yorku.ca,gMRHCY%r6#,manager,true
81,manager_auto_81@yorku.ca,kBfUYlwIo6,manager,true
82,manager_auto_82@yorku.ca,cN3zmW4iJ$,manager,true
83,manager_auto_83@yorku.ca,OvnCMe4OZM,manager,true
84,manager_auto_84@yorku.ca,Wh3I2IOviN,manager,true
85,manager_auto_85@yorku.ca,PK88Dhtb9o,manager,true
86,manager_auto_86@yorku.ca,EH8YPBvPdJ,manager,true
87,manager_auto_87@yorku.ca,LHPBcv2%Ov,manager,true
88,manager_auto_88@yorku.ca,cS$hAshSqe,manager,true
89,manager_auto_89@yorku.ca,sPlshmpyTu,manager,true
90,manager_auto_90@yorku.ca,%x8Q0YVj$I,manager,true
91,manager_auto_91@yorku.ca,y4KiEG5zDv,manager,true
92,manager_auto_92@yorku.ca,evURbP@zlc,manager,true
93,manager_auto_93@yorku.ca,seS9HhwaE2,manager,true
94,manager_auto_94@yorku.ca,3VqrUod0bY,manager,true
95,manager_auto_95@yorku.ca,jMy3vCUCdu,manager,true
96,manager_auto_96@yorku.ca,OCKIj#XQf#,manager,true
97,testuser97@my.yorku.ca,TestPass123!,student,false
98,testuser98@my.yorku.ca,TestPass123!,student,false
